timestamp,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2025-03-26 11:14:18,4.86,5.14,8.07,4.69,4.43,6.69,5.4,0.59,3.19,3.81,3.14,3.7,2.3
2025-03-26 11:14:20,4.89,5.18,8.01,4.72,4.47,6.69,5.4,0.59,3.19,3.81,3.14,3.67,2.3
2025-03-26 11:14:21,4.86,5.14,8.07,4.72,4.45,6.74,5.44,0.6,3.21,3.81,3.14,3.74,2.31
2025-03-26 11:14:22,4.86,5.1,8.07,4.72,4.45,6.74,5.4,0.57,3.24,3.81,3.14,3.72,2.31
2025-03-26 11:14:24,5.2,5.55,8.07,4.72,4.66,6.89,5.66,0.6,3.74,3.94,3.17,3.61,2.22
2025-03-26 11:14:25,1.83,1.48,1.0,5.85,6.31,10.16,0.34,0.11,0.01,6.28,0.43,1.71,2.42
2025-03-26 11:14:26,1.84,1.73,1.27,7.75,8.15,12.07,0.4,0.14,0.03,6.79,0.38,1.79,2.11
2025-03-26 11:14:27,6.89,7.44,11.54,1.99,1.84,1.48,12.36,0.7,0.86,0.57,2.0,0.84,0.5
2025-03-26 11:14:29,7.28,7.88,11.8,2.81,2.85,2.38,3.0,0.69,2.29,0.56,2.21,1.34,0.95
2025-03-26 11:14:30,3.14,3.9,3.96,5.55,6.1,9.15,2.36,0.43,0.01,6.18,1.8,2.79,2.76
2025-03-26 11:14:31,5.05,5.18,6.36,5.05,4.75,6.31,4.11,0.63,3.14,3.7,2.94,3.21,1.89
